segundo,dado1,dado2
-223.5000E-06,+809.4220981E-03,+7.9874378E-03
-223.2500E-06,+809.4220981E-03,+4.7713574E-03
-223.0000E-06,+809.4220981E-03,+4.7713574E-03
-222.7500E-06,+809.4220981E-03,+17.6356789E-03
-222.5000E-06,+809.4220981E-03,+3.1633172E-03
-222.2500E-06,+729.0200889E-03,+7.9874378E-03
-222.0000E-06,+729.0200889E-03,+7.9874378E-03
-221.7500E-06,+729.0200889E-03,+6.3793976E-03
-221.5000E-06,+729.0200889E-03,+9.5954780E-03
-221.2500E-06,+809.4220981E-03,+17.6356789E-03
-221.0000E-06,+809.4220981E-03,+19.2437191E-03
-220.7500E-06,+809.4220981E-03,+7.9874378E-03
-220.5000E-06,+729.0200889E-03,+19.2437191E-03
-220.2500E-06,+809.4220981E-03,+16.0276387E-03
-220.0000E-06,+809.4220981E-03,+12.8115583E-03
-219.7500E-06,+809.4220981E-03,+20.8517592E-03
-219.5000E-06,+809.4220981E-03,+19.2437191E-03
-219.2500E-06,+809.4220981E-03,+7.9874378E-03
-219.0000E-06,+809.4220981E-03,+9.5954780E-03
-218.7500E-06,+809.4220981E-03,+6.3793976E-03
-218.5000E-06,+809.4220981E-03,+4.7713574E-03
-218.2500E-06,+809.4220981E-03,+19.2437191E-03
-218.0000E-06,+809.4220981E-03,+14.4195985E-03
-217.7500E-06,+809.4220981E-03,+9.5954780E-03
-217.5000E-06,+809.4220981E-03,+19.2437191E-03
-217.2500E-06,+889.8241073E-03,+17.6356789E-03
-217.0000E-06,+889.8241073E-03,+9.5954780E-03
-216.7500E-06,+889.8241073E-03,+14.4195985E-03
-216.5000E-06,+889.8241073E-03,+9.5954780E-03
-216.2500E-06,+889.8241073E-03,+9.5954780E-03
-216.0000E-06,+970.2261165E-03,+7.9874378E-03
-215.7500E-06,+970.2261165E-03,+11.2035181E-03
-215.5000E-06,+970.2261165E-03,+6.3793976E-03
-215.2500E-06,+970.2261165E-03,+16.0276387E-03
-215.0000E-06,+970.2261165E-03,+9.5954780E-03
-214.7500E-06,+970.2261165E-03,+16.0276387E-03
-214.5000E-06,+1.0506281257E+00,+19.2437191E-03
-214.2500E-06,+1.1310301349E+00,+17.6356789E-03
-214.0000E-06,+1.1310301349E+00,+16.0276387E-03
-213.7500E-06,+1.1310301349E+00,+3.1633172E-03
-213.5000E-06,+1.1310301349E+00,+7.9874378E-03
-213.2500E-06,+1.2114321440E+00,-52.7631E-06
-213.0000E-06,+1.2114321440E+00,+1.5552770E-03
-212.7500E-06,+1.2114321440E+00,+6.3793976E-03
-212.5000E-06,+1.2918341532E+00,+7.9874378E-03
-212.2500E-06,+1.3722361624E+00,+1.5552770E-03
-212.0000E-06,+1.2918341532E+00,+19.2437191E-03
-211.7500E-06,+1.3722361624E+00,+1.5552770E-03
-211.5000E-06,+1.3722361624E+00,+4.7713574E-03
-211.2500E-06,+1.4526381716E+00,+14.4195985E-03
-211.0000E-06,+1.4526381716E+00,+14.4195985E-03
-210.7500E-06,+1.5330401808E+00,+17.6356789E-03
-210.5000E-06,+1.5330401808E+00,+11.2035181E-03
-210.2500E-06,+1.6134421900E+00,+1.5552770E-03
-210.0000E-06,+1.6134421900E+00,+12.8115583E-03
-209.7500E-06,+1.6938441992E+00,+14.4195985E-03
-209.5000E-06,+1.7742462084E+00,+16.0276387E-03
-209.2500E-06,+1.7742462084E+00,+3.1633172E-03
-209.0000E-06,+1.7742462084E+00,-1.6608033E-03
-208.7500E-06,+1.8546482176E+00,+7.9874378E-03
-208.5000E-06,+1.8546482176E+00,+11.2035181E-03
-208.2500E-06,+1.9350502267E+00,+12.8115583E-03
-208.0000E-06,+1.9350502268E+00,+16.0276387E-03
-207.7500E-06,+2.0154522359E+00,+14.4195985E-03
-207.5000E-06,+2.0958542451E+00,+14.4195985E-03
-207.2500E-06,+2.0958542451E+00,+9.5954780E-03
-207.0000E-06,+2.0958542451E+00,+3.1633172E-03
-206.7500E-06,+2.2566582635E+00,+11.2035181E-03
-206.5000E-06,+2.2566582635E+00,-1.6608033E-03
-206.2500E-06,+2.2566582635E+00,+6.3793976E-03
-206.0000E-06,+2.4174622819E+00,+4.7713574E-03
-205.7500E-06,+2.4174622819E+00,+12.8115583E-03
-205.5000E-06,+2.4174622819E+00,-1.6608033E-03
-205.2500E-06,+2.4978642911E+00,+3.1633172E-03
-205.0000E-06,+2.4978642911E+00,+4.7713574E-03
-204.7500E-06,+2.5782663003E+00,+11.2035181E-03
-204.5000E-06,+2.5782663003E+00,+11.2035181E-03
-204.2500E-06,+2.6586683095E+00,+1.5552770E-03
-204.0000E-06,+2.6586683095E+00,-3.2688435E-03
-203.7500E-06,+2.7390703186E+00,+4.7713574E-03
-203.5000E-06,+2.8194723278E+00,+1.5552770E-03
