segundo,dado1,dado2
-145.0000E-06,-1.2088444382E+00,-15.3304649591E+00
-144.8550E-06,-1.1465328820E+00,-15.2440328002E+00
-144.7100E-06,-1.2088444382E+00,-15.3304649591E+00
-144.5650E-06,-1.1465328820E+00,-15.3304649591E+00
-144.4200E-06,-1.3334675506E+00,-15.3304649591E+00
-144.2750E-06,-1.2088444382E+00,-15.2440328002E+00
-144.1300E-06,-1.2088444382E+00,-15.3304649591E+00
-143.9850E-06,-1.2711559944E+00,-15.2440328002E+00
-143.8400E-06,-1.3334675506E+00,-15.1576006413E+00
-143.6950E-06,-1.3334675506E+00,-15.2440328002E+00
-143.5500E-06,-1.3334675506E+00,-15.3304649591E+00
-143.4050E-06,-1.3334675506E+00,-15.2440328002E+00
-143.2600E-06,-1.3334675506E+00,-15.1576006413E+00
-143.1150E-06,-1.4580906630E+00,-15.3304649591E+00
-142.9700E-06,-1.3334675506E+00,-15.3304649591E+00
-142.8250E-06,-1.5204022191E+00,-15.3304649591E+00
-142.6800E-06,-1.4580906630E+00,-15.3304649591E+00
-142.5350E-06,-1.5204022191E+00,-15.3304649591E+00
-142.3900E-06,-1.4580906630E+00,-15.3304649591E+00
-142.2450E-06,-1.4580906630E+00,-15.1576006413E+00
-142.1000E-06,-1.4580906630E+00,-15.1576006413E+00
-141.9550E-06,-1.5827137753E+00,-15.3304649591E+00
-141.8100E-06,-1.7073368877E+00,-15.3304649591E+00
-141.6650E-06,-1.5827137753E+00,-15.2440328002E+00
-141.5200E-06,-1.7073368877E+00,-15.1576006413E+00
-141.3750E-06,-1.6450253315E+00,-15.3304649591E+00
-141.2300E-06,-1.5827137753E+00,-15.3304649591E+00
-141.0850E-06,-1.6450253315E+00,-15.3304649591E+00
-140.9400E-06,-1.7073368877E+00,-15.3304649591E+00
-140.7950E-06,-1.7696484439E+00,-15.2440328002E+00
-140.6500E-06,-1.8319600001E+00,-15.3304649591E+00
-140.5050E-06,-1.7696484439E+00,-15.3304649591E+00
-140.3600E-06,-1.8319600001E+00,-15.3304649591E+00
-140.2150E-06,-1.8942715563E+00,-15.3304649591E+00
-140.0700E-06,-1.8319600001E+00,-15.3304649591E+00
-139.9250E-06,-1.8319600001E+00,-15.3304649591E+00
-139.7800E-06,-1.8319600001E+00,-15.3304649591E+00
-139.6350E-06,-1.9565831125E+00,-15.2440328002E+00
-139.4900E-06,-1.8319600001E+00,-15.3304649591E+00
