segundo,dado1,dado2
-2.900000E-03,+1.420703262E+00,-14.488528669E+00
-2.897100E-03,+1.420703262E+00,-13.362900555E+00
-2.894200E-03,+1.420703262E+00,-12.237272441E+00
-2.891300E-03,+1.573467076E+00,-11.111644328E+00
-2.888400E-03,+1.573467076E+00,-9.423202157E+00
-2.885500E-03,+1.573467076E+00,-8.578981072E+00
-2.882600E-03,+1.573467076E+00,-7.171945930E+00
-2.879700E-03,+1.649848983E+00,-6.327724844E+00
-2.876800E-03,+1.726230890E+00,-4.920689702E+00
-2.873900E-03,+1.726230890E+00,-3.513654560E+00
-2.871000E-03,+1.726230890E+00,-2.669433475E+00
-2.868100E-03,+1.878994703E+00,-1.262398332E+00
-2.865200E-03,+1.878994703E+00,-418.177247E-03
-2.862300E-03,+1.802612796E+00,+988.857895E-03
-2.859400E-03,+2.031758517E+00,+2.395893037E+00
-2.856500E-03,+1.955376610E+00,+3.521521151E+00
-2.853600E-03,+2.031758517E+00,+5.209963322E+00
-2.850700E-03,+2.031758517E+00,+6.054184407E+00
-2.847800E-03,+2.031758517E+00,+6.898405492E+00
-2.844900E-03,+2.184522331E+00,+8.305440634E+00
-2.842000E-03,+2.184522331E+00,+9.712475777E+00
-2.839100E-03,+2.108140424E+00,+10.838103890E+00
-2.836200E-03,+2.184522331E+00,+11.963732004E+00
-2.833300E-03,+2.184522331E+00,+13.089360118E+00
-2.830400E-03,+2.184522331E+00,+13.652174175E+00
-2.827500E-03,+2.184522331E+00,+13.933581203E+00
-2.824600E-03,+2.337286144E+00,+13.652174175E+00
-2.821700E-03,+2.184522331E+00,+13.652174175E+00
-2.818800E-03,+2.184522331E+00,+13.652174175E+00
-2.815900E-03,+2.337286144E+00,+13.652174175E+00
-2.813000E-03,+2.490049958E+00,+13.652174175E+00
-2.810100E-03,+2.413668051E+00,+13.652174175E+00
-2.807200E-03,+2.337286144E+00,+13.652174175E+00
-2.804300E-03,+2.337286144E+00,+13.652174175E+00
-2.801400E-03,+2.490049958E+00,+13.652174175E+00
-2.798500E-03,+2.413668051E+00,+13.652174175E+00
-2.795600E-03,+2.337286144E+00,+13.652174175E+00
-2.792700E-03,+2.490049958E+00,+13.652174175E+00
-2.789800E-03,+2.490049958E+00,+13.652174175E+00
-2.786900E-03,+2.566431865E+00,+13.652174175E+00
-2.784000E-03,+2.490049958E+00,+13.652174175E+00
-2.781100E-03,+2.490049958E+00,+13.652174175E+00
-2.778200E-03,+2.490049958E+00,+14.214988232E+00
-2.775300E-03,+2.490049958E+00,+13.652174175E+00
-2.772400E-03,+2.490049958E+00,+13.652174175E+00
-2.769500E-03,+2.566431865E+00,+13.652174175E+00
-2.766600E-03,+2.642813772E+00,+13.652174175E+00
-2.763700E-03,+2.566431865E+00,+13.652174175E+00
-2.760800E-03,+2.642813772E+00,+13.652174175E+00
-2.757900E-03,+2.566431865E+00,+13.652174175E+00
-2.755000E-03,+2.642813772E+00,+13.652174175E+00
-2.752100E-03,+2.642813772E+00,+13.652174175E+00
-2.749200E-03,+2.490049958E+00,+13.652174175E+00
-2.746300E-03,+2.566431865E+00,+13.933581203E+00
-2.743400E-03,+2.642813772E+00,+13.652174175E+00
-2.740500E-03,+2.642813772E+00,+13.652174175E+00
-2.737600E-03,+2.490049958E+00,+13.652174175E+00
-2.734700E-03,+2.642813772E+00,+13.652174175E+00
-2.731800E-03,+2.642813772E+00,+13.652174175E+00
-2.728900E-03,+2.566431865E+00,+13.652174175E+00
-2.726000E-03,+2.642813772E+00,+13.652174175E+00
-2.723100E-03,+2.490049958E+00,+13.652174175E+00
-2.720200E-03,+2.490049958E+00,+13.652174175E+00
-2.717300E-03,+2.490049958E+00,+13.652174175E+00
-2.714400E-03,+2.490049958E+00,+13.652174175E+00
-2.711500E-03,+2.413668051E+00,+13.652174175E+00
-2.708600E-03,+2.490049958E+00,+13.652174175E+00
-2.705700E-03,+2.337286144E+00,+13.652174175E+00
-2.702800E-03,+2.337286145E+00,+13.652174175E+00
-2.699900E-03,+2.413668051E+00,+13.652174175E+00
-2.697000E-03,+2.490049958E+00,+13.652174175E+00
-2.694100E-03,+2.413668051E+00,+13.652174175E+00
-2.691200E-03,+2.490049958E+00,+13.652174175E+00
-2.688300E-03,+2.337286144E+00,+13.652174175E+00
-2.685400E-03,+2.337286144E+00,+13.652174175E+00
-2.682500E-03,+2.337286144E+00,+13.652174175E+00
-2.679600E-03,+2.184522331E+00,+13.652174175E+00
-2.676700E-03,+2.184522331E+00,+13.933581203E+00
-2.673800E-03,+2.184522331E+00,+13.652174175E+00
-2.670900E-03,+2.184522331E+00,+13.652174175E+00
-2.668000E-03,+2.184522331E+00,+13.652174175E+00
-2.665100E-03,+2.108140424E+00,+13.652174175E+00
-2.662200E-03,+2.031758517E+00,+13.652174175E+00
-2.659300E-03,+2.108140424E+00,+13.652174175E+00
-2.656400E-03,+2.031758517E+00,+13.652174175E+00
-2.653500E-03,+2.031758517E+00,+13.652174175E+00
-2.650600E-03,+2.031758517E+00,+13.652174175E+00
-2.647700E-03,+2.031758517E+00,+13.370767146E+00
-2.644800E-03,+1.878994703E+00,+13.652174175E+00
-2.641900E-03,+1.878994703E+00,+13.652174175E+00
-2.639000E-03,+1.878994703E+00,+13.089360118E+00
-2.636100E-03,+1.878994703E+00,+13.652174175E+00
-2.633200E-03,+1.878994703E+00,+13.652174175E+00
-2.630300E-03,+1.802612796E+00,+13.652174175E+00
-2.627400E-03,+1.878994703E+00,+13.652174175E+00
-2.624500E-03,+1.726230890E+00,+13.652174175E+00
-2.621600E-03,+1.726230890E+00,+13.652174175E+00
-2.618700E-03,+1.649848983E+00,+13.652174175E+00
-2.615800E-03,+1.573467076E+00,+13.652174175E+00
-2.612900E-03,+1.573467076E+00,+13.652174175E+00
-2.610000E-03,+1.573467076E+00,+13.652174175E+00
-2.607100E-03,+1.497085169E+00,+13.652174175E+00
-2.604200E-03,+1.420703262E+00,+13.652174175E+00
-2.601300E-03,+1.420703262E+00,+13.652174175E+00
-2.598400E-03,+1.267939448E+00,+13.652174175E+00
-2.595500E-03,+1.267939448E+00,+13.652174175E+00
-2.592600E-03,+1.267939448E+00,+13.652174175E+00
-2.589700E-03,+1.191557541E+00,+13.652174175E+00
-2.586800E-03,+1.267939448E+00,+13.652174175E+00
-2.583900E-03,+1.115175635E+00,+13.652174175E+00
-2.581000E-03,+1.115175635E+00,+13.652174175E+00
-2.578100E-03,+1.115175635E+00,+13.652174175E+00
-2.575200E-03,+962.411821E-03,+13.652174175E+00
-2.572300E-03,+962.411821E-03,+13.933581203E+00
-2.569400E-03,+962.411821E-03,+13.652174175E+00
-2.566500E-03,+962.411821E-03,+13.652174175E+00
-2.563600E-03,+809.648007E-03,+13.652174175E+00
-2.560700E-03,+809.648007E-03,+13.652174175E+00
-2.557800E-03,+809.648007E-03,+13.652174175E+00
-2.554900E-03,+656.884193E-03,+13.652174175E+00
-2.552000E-03,+656.884193E-03,+13.652174175E+00
-2.549100E-03,+656.884193E-03,+12.245139033E+00
-2.546200E-03,+504.120380E-03,+11.400917947E+00
-2.543300E-03,+504.120380E-03,+9.712475777E+00
-2.540400E-03,+351.356566E-03,+8.586847663E+00
-2.537500E-03,+427.738473E-03,+7.461219549E+00
-2.534600E-03,+504.120380E-03,+6.898405492E+00
-2.531700E-03,+351.356566E-03,+5.209963322E+00
-2.528800E-03,+351.356566E-03,+4.084335208E+00
-2.525900E-03,+198.592752E-03,+2.677300066E+00
-2.523000E-03,+198.592752E-03,+1.270264924E+00
-2.520100E-03,+122.210845E-03,+426.043838E-03
-2.517200E-03,+45.828938E-03,-980.991304E-03
-2.514300E-03,+45.828938E-03,-2.106619418E+00
-2.511400E-03,+45.828938E-03,-3.232247531E+00
-2.508500E-03,-106.934875E-03,-4.639282674E+00
-2.505600E-03,-106.934875E-03,-6.046317816E+00
-2.502700E-03,-183.316782E-03,-7.171945930E+00
-2.499800E-03,-259.698689E-03,-8.297574043E+00
-2.496900E-03,-259.698689E-03,-9.423202157E+00
-2.494000E-03,-259.698689E-03,-10.548830271E+00
-2.491100E-03,-412.462503E-03,-11.674458385E+00
-2.488200E-03,-412.462503E-03,-13.362900555E+00
-2.485300E-03,-565.226316E-03,-14.488528669E+00
-2.482400E-03,-565.226316E-03,-15.614156783E+00
-2.479500E-03,-565.226316E-03,-15.614156783E+00
-2.476600E-03,-565.226316E-03,-15.614156783E+00
-2.473700E-03,-717.990130E-03,-15.614156783E+00
-2.470800E-03,-870.753944E-03,-15.614156783E+00
-2.467900E-03,-794.372037E-03,-15.614156783E+00
-2.465000E-03,-870.753944E-03,-15.614156783E+00
-2.462100E-03,-870.753944E-03,-15.895563811E+00
-2.459200E-03,-870.753944E-03,-15.614156783E+00
-2.456300E-03,-1.023517758E+00,-15.614156783E+00
-2.453400E-03,-1.023517758E+00,-15.614156783E+00
-2.450500E-03,-1.023517758E+00,-15.614156783E+00
-2.447600E-03,-1.176281571E+00,-15.614156783E+00
-2.444700E-03,-1.099899665E+00,-15.614156783E+00
-2.441800E-03,-1.176281571E+00,-15.614156783E+00
-2.438900E-03,-1.252663478E+00,-15.614156783E+00
-2.436000E-03,-1.329045385E+00,-15.614156783E+00
-2.433100E-03,-1.329045385E+00,-15.614156783E+00
-2.430200E-03,-1.329045385E+00,-15.614156783E+00
-2.427300E-03,-1.481809199E+00,-15.614156783E+00
-2.424400E-03,-1.329045385E+00,-15.614156783E+00
-2.421500E-03,-1.481809199E+00,-15.614156783E+00
-2.418600E-03,-1.481809199E+00,-15.614156783E+00
-2.415700E-03,-1.558191106E+00,-15.332749754E+00
-2.412800E-03,-1.634573013E+00,-15.614156783E+00
-2.409900E-03,-1.634573013E+00,-15.614156783E+00
-2.407000E-03,-1.634573013E+00,-15.614156783E+00
-2.404100E-03,-1.787336826E+00,-15.614156783E+00
-2.401200E-03,-1.787336826E+00,-15.051342726E+00
-2.398300E-03,-1.863718733E+00,-15.614156783E+00
-2.395400E-03,-1.787336826E+00,-15.614156783E+00
-2.392500E-03,-1.787336826E+00,-15.895563811E+00
-2.389600E-03,-1.940100640E+00,-15.051342726E+00
-2.386700E-03,-1.940100640E+00,-15.614156783E+00
-2.383800E-03,-1.940100640E+00,-15.614156783E+00
