second,Volt
-13.51563E-09,+4.40043262037216E+00
-13.43750E-09,+4.40043262037216E+00
-13.35938E-09,+4.40043262037216E+00
-13.28125E-09,+4.40043262037216E+00
-13.20313E-09,+4.40043262037216E+00
-13.12500E-09,+4.40043262037216E+00
-13.04688E-09,+4.40043262037216E+00
-12.96875E-09,+4.40043262037216E+00
-12.89063E-09,+4.40043262037216E+00
-12.81250E-09,+4.40043262037216E+00
-12.73438E-09,+4.40043262037216E+00
-12.65625E-09,+4.40043262037216E+00
-12.57813E-09,+4.40043262037216E+00
-12.50000E-09,+4.40043262037216E+00
-12.42188E-09,+4.40043262037216E+00
-12.34375E-09,+4.40043262037216E+00
-12.26563E-09,+4.40043262037216E+00
-12.18750E-09,+4.40043262037216E+00
-12.10938E-09,+4.40043262037216E+00
-12.03125E-09,+4.40043262037216E+00
-11.95313E-09,+4.40043262037216E+00
-11.87500E-09,+4.40043262037216E+00
-11.79688E-09,+4.40043262037216E+00
-11.71875E-09,+4.40043262037216E+00
-11.64063E-09,+4.40043262037216E+00
-11.56250E-09,+4.40043262037216E+00
-11.48438E-09,+4.40043262037216E+00
-11.40625E-09,+4.40043262037216E+00
-11.32813E-09,+4.40043262037216E+00
-11.25000E-09,+4.40043262037216E+00
-11.17188E-09,+4.40043262037216E+00
-11.09375E-09,+4.40043262037216E+00
-11.01563E-09,+4.40043262037216E+00
-10.93750E-09,+4.40043262037216E+00
-10.85938E-09,+4.40043262037216E+00
-10.78125E-09,+4.40043262037216E+00
-10.70313E-09,+4.40043262037216E+00
-10.62500E-09,+4.40043262037216E+00
-10.54688E-09,+4.40043262037216E+00
-10.46875E-09,+4.40043262037216E+00
-10.39063E-09,+4.40043262037216E+00
-10.31250E-09,+4.40043262037216E+00
-10.23438E-09,+4.40043262037216E+00
-10.15625E-09,+4.40043262037216E+00
-10.07813E-09,+4.40043262037216E+00
-10.00000E-09,+4.40043262037216E+00
-9.92188E-09,+4.40043262037216E+00
-9.84375E-09,+4.40043262037216E+00
-9.76563E-09,+4.40043262037216E+00
-9.68750E-09,+4.40043262037216E+00
-9.60938E-09,+4.40043262037216E+00
-9.53125E-09,+4.40043262037216E+00
-9.45313E-09,+4.40043262037216E+00
-9.37500E-09,+4.40043262037216E+00
-9.29688E-09,+4.40043262037216E+00
-9.21875E-09,+4.40043262037216E+00
-9.14063E-09,+4.40043262037216E+00
-9.06250E-09,+4.40043262037216E+00
-8.98438E-09,+4.40043262037216E+00
-8.90625E-09,+4.40043262037216E+00
-8.82813E-09,+4.40043262037216E+00
-8.75000E-09,+4.40043262037216E+00
-8.67188E-09,+4.40043262037216E+00
-8.59375E-09,+4.40043262037216E+00
-8.51563E-09,+4.40043262037216E+00
-8.43750E-09,+4.40043262037216E+00
-8.35938E-09,+4.40043262037216E+00
-8.28125E-09,+4.40043262037216E+00
-8.20313E-09,+4.40043262037216E+00
