second,Volt
-25.00000E-09,+8.42053315433441E+00
-24.92188E-09,+8.42053315433441E+00
-24.84375E-09,+8.42053315433441E+00
-24.76563E-09,+8.42053315433441E+00
-24.68750E-09,+8.42053315433441E+00
-24.60938E-09,+8.42053315433441E+00
-24.53125E-09,+8.39540752599714E+00
-24.45313E-09,+8.39540752599714E+00
-24.37500E-09,+8.39540752599714E+00
-24.29688E-09,+8.39540752599714E+00
-24.21875E-09,+8.39540752599714E+00
-24.14063E-09,+8.39540752599714E+00
-24.06250E-09,+8.39540752599714E+00
-23.98438E-09,+8.39540752599714E+00
-23.90625E-09,+8.37028189765988E+00
-23.82813E-09,+8.37028189765988E+00
-23.75000E-09,+8.37028189765988E+00
-23.67188E-09,+8.37028189765988E+00
-23.59375E-09,+8.37028189765988E+00
-23.51563E-09,+8.37028189765988E+00
-23.43750E-09,+8.39540752599714E+00
-23.35938E-09,+8.39540752599714E+00
-23.28125E-09,+8.39540752599714E+00
-23.20313E-09,+8.42053315433440E+00
-23.12500E-09,+8.42053315433441E+00
-23.04688E-09,+8.44565878267167E+00
-22.96875E-09,+8.47078441100893E+00
-22.89063E-09,+8.47078441100894E+00
-22.81250E-09,+8.49591003934619E+00
-22.73438E-09,+8.49591003934620E+00
-22.65625E-09,+8.54616129602072E+00
-22.57813E-09,+8.57128692435799E+00
-22.50000E-09,+8.59641255269525E+00
-22.42188E-09,+8.62153818103251E+00
-22.34375E-09,+8.64666380936978E+00
-22.26563E-09,+8.67178943770704E+00
-22.18750E-09,+8.69691506604430E+00
-22.10938E-09,+8.69691506604431E+00
-22.03125E-09,+8.72204069438157E+00
-21.95313E-09,+8.74716632271883E+00
-21.87500E-09,+8.74716632271884E+00
-21.79688E-09,+8.77229195105609E+00
-21.71875E-09,+8.79741757939336E+00
-21.64063E-09,+8.79741757939337E+00
-21.56250E-09,+8.82254320773062E+00
-21.48438E-09,+8.82254320773063E+00
-21.40625E-09,+8.82254320773063E+00
-21.32813E-09,+8.84766883606789E+00
-21.25000E-09,+8.84766883606790E+00
-21.17188E-09,+8.84766883606790E+00
-21.09375E-09,+8.82254320773064E+00
-21.01563E-09,+8.82254320773063E+00
-20.93750E-09,+8.82254320773063E+00
-20.85938E-09,+8.82254320773063E+00
-20.78125E-09,+8.82254320773063E+00
-20.70313E-09,+8.82254320773063E+00
-20.62500E-09,+8.82254320773063E+00
-20.54688E-09,+8.82254320773063E+00
-20.46875E-09,+8.79741757939338E+00
-20.39063E-09,+8.79741757939337E+00
-20.31250E-09,+8.79741757939337E+00
-20.23438E-09,+8.79741757939337E+00
-20.15625E-09,+8.79741757939337E+00
-20.07813E-09,+8.79741757939337E+00
-20.00000E-09,+8.79741757939337E+00
-19.92188E-09,+8.79741757939337E+00
-19.84375E-09,+8.79741757939337E+00
-19.76563E-09,+8.79741757939337E+00
-19.68750E-09,+8.79741757939337E+00
-19.60938E-09,+8.79741757939337E+00
-19.53125E-09,+8.79741757939337E+00
-19.45313E-09,+8.79741757939337E+00
