segundo,dado1,dado2
-4.000000E-03,+215.276510E-03,-15.481169224E+00
-3.996000E-03,+215.276510E-03,-15.481169224E+00
-3.992000E-03,+215.276510E-03,-15.481169224E+00
-3.988000E-03,+408.241332E-03,-15.481169224E+00
-3.984000E-03,+408.241332E-03,-14.902274728E+00
-3.980000E-03,+408.241332E-03,-13.165591240E+00
-3.976000E-03,+601.206154E-03,-11.428907752E+00
-3.972000E-03,+601.206154E-03,-9.692224264E+00
-3.968000E-03,+601.206154E-03,-7.955540776E+00
-3.964000E-03,+794.170976E-03,-6.218857288E+00
-3.960000E-03,+794.170976E-03,-4.482173800E+00
-3.956000E-03,+794.170976E-03,-2.745490313E+00
-3.952000E-03,+987.135798E-03,-1.587701321E+00
-3.948000E-03,+987.135798E-03,+727.876663E-03
-3.944000E-03,+987.135798E-03,+1.885665655E+00
-3.940000E-03,+1.180100620E+00,+3.622349143E+00
-3.936000E-03,+1.180100620E+00,+5.359032631E+00
-3.932000E-03,+1.373065442E+00,+7.095716119E+00
-3.928000E-03,+1.373065442E+00,+8.832399607E+00
-3.924000E-03,+1.180100620E+00,+9.990188599E+00
-3.920000E-03,+1.373065442E+00,+11.726872087E+00
-3.916000E-03,+1.373065442E+00,+13.463555574E+00
-3.912000E-03,+1.566030264E+00,+13.463555574E+00
-3.908000E-03,+1.566030264E+00,+13.463555574E+00
-3.904000E-03,+1.566030264E+00,+13.463555574E+00
-3.900000E-03,+1.758995086E+00,+13.463555574E+00
-3.896000E-03,+1.758995086E+00,+14.042450070E+00
-3.892000E-03,+1.758995086E+00,+13.463555574E+00
-3.888000E-03,+1.951959908E+00,+14.042450070E+00
-3.884000E-03,+1.951959908E+00,+14.042450070E+00
-3.880000E-03,+1.951959908E+00,+13.463555574E+00
-3.876000E-03,+1.951959908E+00,+13.463555574E+00
-3.872000E-03,+1.951959908E+00,+14.042450070E+00
-3.868000E-03,+1.951959908E+00,+14.042450070E+00
-3.864000E-03,+2.144924730E+00,+13.463555574E+00
-3.860000E-03,+2.144924730E+00,+13.463555574E+00
-3.856000E-03,+2.144924730E+00,+13.463555574E+00
-3.852000E-03,+2.337889552E+00,+13.463555574E+00
-3.848000E-03,+2.144924730E+00,+13.463555574E+00
-3.844000E-03,+2.144924730E+00,+13.463555574E+00
-3.840000E-03,+2.337889552E+00,+13.463555574E+00
-3.836000E-03,+2.337889552E+00,+13.463555574E+00
-3.832000E-03,+2.337889552E+00,+13.463555574E+00
-3.828000E-03,+2.337889552E+00,+13.463555574E+00
-3.824000E-03,+2.337889552E+00,+13.463555574E+00
-3.820000E-03,+2.337889552E+00,+13.463555574E+00
-3.816000E-03,+2.337889552E+00,+14.042450070E+00
-3.812000E-03,+2.337889552E+00,+13.463555574E+00
-3.808000E-03,+2.337889552E+00,+13.463555574E+00
-3.804000E-03,+2.530854374E+00,+14.042450070E+00
-3.800000E-03,+2.530854374E+00,+13.463555574E+00
-3.796000E-03,+2.530854374E+00,+13.463555574E+00
-3.792000E-03,+2.530854374E+00,+14.042450070E+00
-3.788000E-03,+2.530854374E+00,+13.463555574E+00
-3.784000E-03,+2.530854374E+00,+13.463555574E+00
-3.780000E-03,+2.530854374E+00,+13.463555574E+00
-3.776000E-03,+2.530854374E+00,+13.463555574E+00
-3.772000E-03,+2.723819196E+00,+13.463555574E+00
-3.768000E-03,+2.723819196E+00,+13.463555574E+00
-3.764000E-03,+2.723819196E+00,+14.042450070E+00
-3.760000E-03,+2.530854374E+00,+13.463555574E+00
-3.756000E-03,+2.530854374E+00,+13.463555574E+00
-3.752000E-03,+2.530854374E+00,+13.463555574E+00
-3.748000E-03,+2.530854374E+00,+13.463555574E+00
-3.744000E-03,+2.723819196E+00,+14.042450070E+00
-3.740000E-03,+2.530854374E+00,+13.463555574E+00
-3.736000E-03,+2.530854374E+00,+13.463555574E+00
-3.732000E-03,+2.530854374E+00,+13.463555574E+00
-3.728000E-03,+2.337889552E+00,+14.042450070E+00
-3.724000E-03,+2.530854374E+00,+13.463555574E+00
-3.720000E-03,+2.337889552E+00,+14.042450070E+00
-3.716000E-03,+2.337889552E+00,+13.463555574E+00
-3.712000E-03,+2.337889552E+00,+14.042450070E+00
-3.708000E-03,+2.337889552E+00,+13.463555574E+00
-3.704000E-03,+2.337889552E+00,+14.042450070E+00
-3.700000E-03,+2.337889552E+00,+13.463555574E+00
-3.696000E-03,+2.337889552E+00,+14.042450070E+00
-3.692000E-03,+2.144924730E+00,+13.463555574E+00
-3.688000E-03,+2.337889552E+00,+13.463555574E+00
-3.684000E-03,+2.337889552E+00,+13.463555574E+00
-3.680000E-03,+2.144924730E+00,+13.463555574E+00
-3.676000E-03,+2.144924730E+00,+13.463555574E+00
-3.672000E-03,+2.144924730E+00,+13.463555574E+00
-3.668000E-03,+1.951959908E+00,+14.042450070E+00
-3.664000E-03,+1.951959908E+00,+13.463555574E+00
-3.660000E-03,+1.951959908E+00,+13.463555574E+00
-3.656000E-03,+1.951959908E+00,+13.463555574E+00
-3.652000E-03,+1.758995086E+00,+14.042450070E+00
-3.648000E-03,+1.758995086E+00,+13.463555574E+00
-3.644000E-03,+1.566030264E+00,+13.463555574E+00
-3.640000E-03,+1.758995086E+00,+13.463555574E+00
-3.636000E-03,+1.758995086E+00,+13.463555574E+00
-3.632000E-03,+1.566030264E+00,+13.463555574E+00
-3.628000E-03,+1.566030264E+00,+13.463555574E+00
