segundo,dado1,dado2
-31.00000E-03,-2.18781401E+00,-15.48116922E+00
-30.96900E-03,-2.18781401E+00,-15.48116922E+00
-30.93800E-03,-2.18781401E+00,-16.06006372E+00
-30.90700E-03,-2.18781401E+00,-15.48116922E+00
-30.87600E-03,-2.18781401E+00,-15.48116922E+00
-30.84500E-03,-2.18781401E+00,-15.48116922E+00
-30.81400E-03,-2.18781401E+00,-15.48116922E+00
-30.78300E-03,-1.98680899E+00,-15.77061647E+00
-30.75200E-03,-1.98680899E+00,-15.48116922E+00
-30.72100E-03,-1.98680899E+00,-15.48116922E+00
-30.69000E-03,-1.78580396E+00,-15.48116922E+00
-30.65900E-03,-1.78580396E+00,-15.48116922E+00
-30.62800E-03,-1.78580396E+00,-15.48116922E+00
-30.59700E-03,-1.78580396E+00,-15.48116922E+00
-30.56600E-03,-1.78580396E+00,-15.48116922E+00
-30.53500E-03,-1.58479893E+00,-15.48116922E+00
-30.50400E-03,-1.58479893E+00,-15.48116922E+00
-30.47300E-03,-1.58479893E+00,-15.48116922E+00
-30.44200E-03,-1.58479893E+00,-15.48116922E+00
-30.41100E-03,-1.48429642E+00,-15.48116922E+00
-30.38000E-03,-1.58479893E+00,-15.48116922E+00
-30.34900E-03,-1.48429642E+00,-15.48116922E+00
-30.31800E-03,-1.38379391E+00,-15.48116922E+00
-30.28700E-03,-1.28329139E+00,-15.48116922E+00
-30.25600E-03,-1.18278888E+00,-15.48116922E+00
-30.22500E-03,-1.28329139E+00,-15.19172198E+00
-30.19400E-03,-1.18278888E+00,-15.48116922E+00
-30.16300E-03,-1.18278888E+00,-15.48116922E+00
-30.13200E-03,-1.18278888E+00,-15.48116922E+00
-30.10100E-03,-981.78385E-03,-15.48116922E+00
-30.07000E-03,-981.78385E-03,-15.48116922E+00
-30.03900E-03,-981.78385E-03,-15.48116922E+00
-30.00800E-03,-981.78385E-03,-15.48116922E+00
-29.97700E-03,-780.77883E-03,-15.48116922E+00
-29.94600E-03,-780.77883E-03,-15.48116922E+00
-29.91500E-03,-780.77883E-03,-15.48116922E+00
-29.88400E-03,-780.77883E-03,-15.48116922E+00
-29.85300E-03,-579.77380E-03,-15.48116922E+00
-29.82200E-03,-579.77380E-03,-15.48116922E+00
-29.79100E-03,-579.77380E-03,-15.48116922E+00
-29.76000E-03,-579.77380E-03,-15.48116922E+00
-29.72900E-03,-479.27129E-03,-15.48116922E+00
-29.69800E-03,-378.76877E-03,-15.48116922E+00
-29.66700E-03,-378.76877E-03,-15.48116922E+00
